listing_id,address,city,province,postal_code,neighborhood,subarea,sub_area_community,property_age,property_type,style,sqft,days_on_site,bed,bath,price,strata_fee,primary_agent,primary_broker,title,description,,scrape_date
R2494427,2340 E 33rd Avenue,Vancouver,BC,V5R2S3,Collingwood,collingwood-vancouver-bc,Collingwood,Built in 2016 (4 yrs old),Duplex,3 Storey,1448,53,4,4,1198000,1,Ken Zhou PREC*,RE/MAX City Realty,Freehold Strata,"All above ground! Beautiful Bright 1/2 Duplex unit featuring 4 bedrooms and 3.5 bath spread out thr 1448 sqft and three levels. The first level offers ten-foot ceilings, open-concept living room, dining room, powder room, and modern kitchen with portable center island. Second level offers a master bedroom with en-suite and two other good-sized bedrooms sharing another bathroom and laundry area. The upper level has another en-suited master bedroom, or may be used as your playroom. With large balcony on the top level, you can enjoy the beautiful city and mountain. Fully-fenced front yard and one-car garage. Extremely Convenient location, Public transit,shopping and restaurant are just steps away.",,11/12/2020
R2504637,502-1133 Harwood Street,Vancouver,BC,V6E1R9,West End,west-end-vancouver-bc,West End,NA,Apt/Condo,5 Plus Level,1081,23,2,1,750000,1,Raj Sangha,eXp Realty (Branch),Freehold Strata,"Location, location, location! Start planning your ‘Staycation’! Located just on the other side from the beach, minutes from English Bay, find your new home which is rarely available! This 2 bed 1 bath south (water) facing condo is awaiting your renovation dreams. The biggest unit in the complex, nearly 1100 sq ft, this is a truly centrally located home between Sunset Beach & Davie Village! Call today before this rare opportunity is gone!",,11/12/2020
R2484176,7-9219 Williams Road,Richmond,BC,V7A1G8,Saunders,saunders-richmond-bc,Saunders,Built in 2020 (0 yrs old),Townhouse,3 Storey,1476,82,3,3,1088000,1,Ken Phuah PREC*,Saba Realty Ltd.,Freehold Strata,"Brand new cozy 1467SF home at WILLIAMS & PARK, it is conveniently located right across from South Arm Park, 3 minutes walking distance to French Immersion Whiteside Elementary and McRoberts Secondary School catchment. This unique classic contemporary design half duplex home features a generous 3 bedroom + 2 1/2 bathroom + DEN + LOFT over the three floors layout. It boasts zoned radiant floor heating, air condition, premium Bosch appliances & Samsung tablet fridge, alarm, central vacuum, extensive custom moulding & woodwork throughout, custom wall & floor tiles, steam shower, custom cabinetry, gas BBQ hook up, huge double SBS car garage. Lots of parking avai in case you need them for your party event. Home is estimated to complete around October 20. Call today for your private viewing.",,11/12/2020
R2484172,4-9219 Williams Road,Richmond,BC,V7A1G8,Saunders,saunders-richmond-bc,Saunders,Built in 2020 (0 yrs old),Townhouse,2 Storey,1386,82,3,3,1088000,1,Ken Phuah PREC*,Saba Realty Ltd.,Freehold Strata,"Brand new cozy 1386SF home at WILLIAMS & PARK, it is conveniently located right across from South Arm Park, 3 minutes walking distance to French Immersion Whiteside Elementary and McRoberts Secondary School catchment. This unique classic contemporary design half duplex home features a generous 3 bedroom + 2 1/2 bathroom over a 2 level spacious design. It boasts zoned radiant floor heating, air conditioning, premium Bosch appliances & Samsung tablet fridge, alarm, central vacuum, extensive custom moulding & woodwork throughout, custom wall & oversized floor tiles, study/work area, custom cabinetry, double side by side car garage PLUS a huge backyard with gas BBQ for exclusive use. Home is estimated to complete around October 20. Call today for your private viewing.",,11/12/2020
R2486394,214-8751 General Currie Road,Richmond,BC,V6Y3T7,Brighouse South,brighouse-south-richmond-bc,Brighouse South,Built in 1989 (31 yrs old),Apt/Condo,Inside Unit,955,76,2,2,499000,1,Jennifer Cheng PREC*,RE/MAX City Realty,Freehold Strata,Priced to sell! Spacious 2 bedroom 2 bath unit in a well maintained building. Conveniently located near Richmond Centre Mall & Canada Line Brighouse Station. Unit comes with one parking stall and storage locker. One pet under 25 lbs is allowed.,,11/12/2020
R2491954,4923 Cedar Springs Drive,Delta,BC,V4M0A7,Tsawwassen North,tsawwassen-north-delta-bc,Tsawwassen North,Built in 2019 (1 yrs old),House,2 Storey,2465,59,5,4,1499000,1,Morning Yu PREC*,LeHomes Realty First,Freehold Strata,"Welcome to - Tsawwassen Spring! This beautiful home features 10' ceiling with 5 bedrooms and 4 bathrooms. Spacious 2465sqft living space with high end cabinets, granite counter tops, stainless steel appliances, geothermal heating, rich engineered hard wood floors. The main master bedroom with a spa-like bathroom with large soaker tub. Private backyard with covered patio and gas line for BBQ.A resort lifestyle surrounded by the exceptional 18 hole golf course, steps away from the beach and Tsawwassen Mills shopping center. Bus Stop just 5 min walking distance. Beautiful and quiet environment. Private School South Point Academy and also South Delta Secondary School are just 5 min drive distance. Call today to arrange your private showing. Open House Sept 26 Sat 2-4pm,Masks is mandatory .",,11/12/2020
R2489568,19560 5 Avenue,Langley,BC,V3Z9R9,Campbell Valley,campbell-valley-langley-bc,Campbell Valley,Built in 1986 (34 yrs old),House,"2 Storey w/Bsmt.,Carriage/Coach House",5089,67,5,5,3990000,100,Bernie Scholz PREC*,Macdonald Realty (Surrey/152),Freehold Strata,"Ellenbrook Executive Estate living | The home Victorian in style over 5000sf, 5 beds, 5 bathrooms, sauna, and huge rec-room over the 2 car garage. New kitchen 2005 Miele & Viking appliances, European cabinetry, high-efficiency furnace, radiant heating on the main, electric up/down. Up 4 beds, large master with steam shower. Outside 18'x38' concrete pool, hot tub, large deck space. Beautiful 2-bedroom cottage1031sf tenanted month to month. Other facilities include 5 stall barn, 4 skylights, tack room, feed stall & 2 addt'l stalls, separate service road access, full-size outdoor riding ring LED floodlights. The property professionally re-landscaped in 2008, gated entrance, irrigation, perimeter lined oak & cedar trees. Peacefully quiet & private, but just minutes away from Hwy 15 & Hwy 99.",,11/12/2020
R2511620,1903-1835 Morton Avenue,Vancouver,BC,V6G1V3,West End,west-end-vancouver-bc,West End,Built in 1959 (61 yrs old),Apt/Condo,Inside Unit,1181,6,2,2,1650000,1000,Kelsie Struch PREC*,Stilhavn Real Estate Services,Shares in Co-operative,"Welcome to your waterfront dream home at Ocean Towers which is just waiting for your decorating ideas. Enjoy 19th floor unobstructed breathtaking panoramic views of the ocean and English Bay from this 1181 sqft 2 bedroom 2 bathroom in Vancouver’s beautiful West End; just steps to restaurants, shopping, seawall, beaches and transit. Only 4 suites per floor and the monthly maintenance fee includes heat, hot water and PROPERTY TAX. Building is a Coop and is a 19+, no rentals or pets allowed, comes with one parking and storage locker, additional parking available for $35 a month. No Foreign Buyers Tax or Property Purchase Tax. Call us today to book your private showing or virtual walk through.",,11/12/2020
R2487283,1402-1925 Alberni Street,Vancouver,BC,V6G0A3,West End,west-end-vancouver-bc,West End,Built in 2007 (13 yrs old),Apt/Condo,"Corner Unit,Upper Unit",1473,73,2,2,2480000,1000,Sarah Jian,RA Realty Alliance Inc.,Freehold Strata,"Enjoy Vancouver's quintessential view of Stanley Park, Coal Harbour & the North Shore mountains. Elegant living in understated elegance with rich detailing, luxury finishes, full-time concierge, swimming pool, spa and steam room. The unit features air conditioning, gas fireplace and 2 balconies with UPGRADED private steam shower and heated bathroom floors. 2 side by side parking stall and 1 storage locker included. Enjoy spectacular protected views and the very best upscale Vancouver living right on the threshold of Stanley Park.",,11/12/2020
R2512630,TH102-1288 Marinaside Crescent,Vancouver,BC,V6Z2W5,Yaletown,yaletown-vancouver-bc,Yaletown,Built in 1997 (23 yrs old),Townhouse,2 Storey,1356,2,2,3,1399999,1003,Erin Mulhern PREC*,Macdonald Realty,Freehold Strata,"Meticulous Marinaside Townhouse. Seldom available are these 2 level provate entry homes at this exclusive & demanded waterfront location. Enter from a secluded boulevard lined with blossoming trees. Smart floor plan = no wasted space with accents of granite, stainless and hardwood. 2 bed plus 2 FULL baths up - even a powder on the main. Western facing patio for Alfresco dining. Resort style amenities. Dynamite location steps to Seawall, Eslie Elementary, Urban Fare, Canada line plus best restaurants & sporting venues in Yaletown. This residences has been beautifully maintained by present owners. Bonus: TWO parking.",,11/12/2020
